run_id,phase,benchmark_family,customer_count,instance_id,structure_class,scenario_id,method_id,seed,tier,eval_budget,accepted_final,strict_duty_final,v_cap_final,v_tw_final,v_shift_final,overtime_sum_final,overtime_ratio_sum_final,cost_final,energy_final,co2_final,j_scaled_init,j_scaled_final,improvement_abs,improvement_pct,runtime_sec,compute_wh,imp_per_wh,time_to_first_feasible_sec,evals_to_first_feasible,n_repair_attempts,n_repair_success,n_rejected_offspring,archive_size_final,notes
C101__S2_peak_dirty__StdDE__seed02,main,solomon,100,C101,clustered,S2_peak_dirty,StdDE,2,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,3211.552418628628,2546.247719285879,1328.2886345240086,1.098395,1.062564556764542,0.03583044323545792,3.262072682000366,1800.179931999999,26.002599017777765,0.0013779562270279575,9.624907199991867,1,0,0,2466,5,real_solver:StdDE | archive=5 | walltime_hit=1 | init_best=1.098395 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__StdDE__seed03,main,solomon,100,C101,clustered,S2_peak_dirty,StdDE,3,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,3319.815771658799,2488.514251617857,1292.0278945274588,1.217143,1.0575815131610773,0.1595614868389228,13.109510290814045,1800.0205364999129,26.000296638332074,0.006136910246003975,13.76529439992737,1,0,0,3887,5,real_solver:StdDE | archive=5 | walltime_hit=1 | init_best=1.217143 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__StdDE__seed04,main,solomon,100,C101,clustered,S2_peak_dirty,StdDE,4,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,3052.4059204503474,2652.9752288499044,1378.630712598925,1.211464,1.07210786326746,0.13935613673254,11.503118271161172,1800.6256609000266,26.009037324111496,0.005357989032656386,1.8359270000364631,1,0,0,3780,6,real_solver:StdDE | archive=6 | walltime_hit=1 | init_best=1.211464 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__StdDE__seed05,main,solomon,100,C101,clustered,S2_peak_dirty,StdDE,5,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2970.589950112404,2381.865540405259,1241.611010885958,1.240568,0.9898786307584203,0.2506893692415796,20.207628218814254,1800.4848574000644,26.007003495778708,0.009639302324170868,13.919082000036724,1,0,0,2745,2,real_solver:StdDE | archive=2 | walltime_hit=1 | init_best=1.240568 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__StdDE__seed06,main,solomon,100,C101,clustered,S2_peak_dirty,StdDE,6,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,3224.094453352349,2609.9374426222917,1356.3140459576969,1.233085,1.0800311411334698,0.15305385886653022,12.41227156818307,1800.210825099959,26.003045251443854,0.0058859974817000215,13.6011369000189,1,0,0,2588,4,real_solver:StdDE | archive=4 | walltime_hit=1 | init_best=1.233085 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__StdDE__seed07,main,solomon,100,C101,clustered,S2_peak_dirty,StdDE,7,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,3005.065856801236,2591.575774758457,1348.0198765118507,1.150873,1.0502992858044742,0.10057371419552585,8.73890639501716,1800.8970378999365,26.012957214110195,0.0038662929926695034,12.773588999989443,1,0,0,2491,2,real_solver:StdDE | archive=2 | walltime_hit=1 | init_best=1.150873 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__StdDE__seed08,main,solomon,100,C101,clustered,S2_peak_dirty,StdDE,8,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,3066.430045943406,2754.9564024908696,1434.6235427165464,1.19984,1.1022852678968926,0.09755473210310739,8.130645094604898,1800.2031327000586,26.002934139000846,0.003751681697981484,13.280172299942933,1,0,0,2745,5,real_solver:StdDE | archive=5 | walltime_hit=1 | init_best=1.199840 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__StdDE__seed09,main,solomon,100,C101,clustered,S2_peak_dirty,StdDE,9,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2705.788740722416,2084.434630260216,1088.1129693667053,1.097549,0.8788145751298039,0.21873442487019623,19.92935393956864,1800.0790709999856,26.00114213666646,0.00841249294821322,13.585416099987924,1,0,0,2909,5,real_solver:StdDE | archive=5 | walltime_hit=1 | init_best=1.097549 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__StdDE__seed10,main,solomon,100,C101,clustered,S2_peak_dirty,StdDE,10,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,3142.2945413734456,2622.378624880958,1369.068173901579,1.185813,1.0757065349424995,0.11010646505750055,9.285314384097708,1800.7540833000094,26.010892314333468,0.004233090650136046,13.454727900098078,1,0,0,2606,3,real_solver:StdDE | archive=3 | walltime_hit=1 | init_best=1.185813 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__StdDE__seed11,main,solomon,100,C101,clustered,S2_peak_dirty,StdDE,11,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,3214.4935637210037,2569.6334198247096,1339.9403241267678,1.155806,1.0691430085392328,0.08666299146076706,7.4980568936973055,1801.1355072000297,26.016401770667095,0.003331090602947162,9.658496999996714,1,0,0,3326,5,real_solver:StdDE | archive=5 | walltime_hit=1 | init_best=1.155806 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
