run_id,phase,benchmark_family,customer_count,instance_id,structure_class,scenario_id,method_id,seed,tier,eval_budget,accepted_final,strict_duty_final,v_cap_final,v_tw_final,v_shift_final,overtime_sum_final,overtime_ratio_sum_final,cost_final,energy_final,co2_final,j_scaled_init,j_scaled_final,improvement_abs,improvement_pct,runtime_sec,compute_wh,imp_per_wh,time_to_first_feasible_sec,evals_to_first_feasible,n_repair_attempts,n_repair_success,n_rejected_offspring,archive_size_final,notes
C101__S2_peak_dirty__A2_NoJDE__seed02,main,solomon,100,C101,clustered,S2_peak_dirty,A2_NoJDE,2,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2687.717615033,2333.8740183181408,1219.7145754585604,1.028049,0.9452382094204598,0.08281079057954022,8.055140424195756,1800.6246862000553,26.00902324511191,0.0031839254323056338,12.783406500006095,1,0,0,2604,2,real_solver:A2_NoJDE | archive=2 | walltime_hit=1 | init_best=1.028049 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__A2_NoJDE__seed03,main,solomon,100,C101,clustered,S2_peak_dirty,A2_NoJDE,3,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2782.242887027424,2161.339596209964,1126.816396210104,1.028049,0.9081879245365179,0.11986107546348213,11.65908195654897,1800.8874055000488,26.01281807944515,0.004607769719428982,14.49786869995296,1,0,0,2492,6,real_solver:A2_NoJDE | archive=6 | walltime_hit=1 | init_best=1.028049 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__A2_NoJDE__seed04,main,solomon,100,C101,clustered,S2_peak_dirty,A2_NoJDE,4,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2581.3049604374974,2125.7642860588116,1107.0939394119187,1.028049,0.8751862815006493,0.15286271849935074,14.869205504732822,1800.0033879999537,26.00004893777711,0.005879324260703481,14.238204299937934,1,0,0,2576,3,real_solver:A2_NoJDE | archive=3 | walltime_hit=1 | init_best=1.028049 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__A2_NoJDE__seed05,main,solomon,100,C101,clustered,S2_peak_dirty,A2_NoJDE,5,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2872.738746656774,2112.1329145991986,1099.0316887684296,1.028049,0.9045521742044645,0.12349682579553545,12.012737310725019,1800.401779799955,26.00580348599935,0.004748817926814758,14.922121199895628,1,0,0,2714,8,real_solver:A2_NoJDE | archive=8 | walltime_hit=1 | init_best=1.028049 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__A2_NoJDE__seed06,main,solomon,100,C101,clustered,S2_peak_dirty,A2_NoJDE,6,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2720.3508826714947,2044.087228876496,1063.0822829522456,0.955925,0.8684243508035854,0.08750064919641465,9.153505682602155,1800.7582121999003,26.01095195399856,0.0033639925732500352,14.37102269998286,1,0,0,2722,12,real_solver:A2_NoJDE | archive=12 | walltime_hit=1 | init_best=0.955925 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__A2_NoJDE__seed07,main,solomon,100,C101,clustered,S2_peak_dirty,A2_NoJDE,7,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2768.9971164359704,2150.5522048225025,1121.3349630059674,1.028049,0.903765596550329,0.12428340344967104,12.089248999772487,1800.022030299995,26.000318215444373,0.004780072398338795,13.80564689997118,1,0,0,2775,3,real_solver:A2_NoJDE | archive=3 | walltime_hit=1 | init_best=1.028049 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__A2_NoJDE__seed08,main,solomon,100,C101,clustered,S2_peak_dirty,A2_NoJDE,8,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2672.78507528504,1976.7970279443252,1029.2410179533706,1.017585,0.8449404885766617,0.17264451142333825,16.96610223453945,1800.7253452999284,26.010477209887856,0.006637498805969912,1.6521734000416473,1,0,0,2507,10,real_solver:A2_NoJDE | archive=10 | walltime_hit=1 | init_best=1.017585 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__A2_NoJDE__seed09,main,solomon,100,C101,clustered,S2_peak_dirty,A2_NoJDE,9,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2645.0486636177056,2277.017286781396,1192.875896208431,1.028049,0.92557037039734,0.10247862960265997,9.968263147248814,1800.071263800026,26.001029366000374,0.003941329712763745,14.288137400057167,1,0,0,2513,1,real_solver:A2_NoJDE | archive=1 | walltime_hit=1 | init_best=1.028049 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__A2_NoJDE__seed10,main,solomon,100,C101,clustered,S2_peak_dirty,A2_NoJDE,10,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2507.9200208791576,2020.8896630982645,1053.0502599491379,0.943476,0.838331736422306,0.10514426357769402,11.14434957303567,1800.731609200011,26.010567688444603,0.004042367119284566,3.6699570999480784,1,0,0,2564,2,real_solver:A2_NoJDE | archive=2 | walltime_hit=1 | init_best=0.943476 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__A2_NoJDE__seed11,main,solomon,100,C101,clustered,S2_peak_dirty,A2_NoJDE,11,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2962.259899070662,2157.6505163913403,1126.118487993225,1.003562,0.9280923853054569,0.07546961469454316,7.520174607502393,1800.6566912000999,26.009485539556998,0.0029016188951436132,13.049028999987058,1,0,0,2959,6,real_solver:A2_NoJDE | archive=6 | walltime_hit=1 | init_best=1.003562 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
