run_id,phase,benchmark_family,customer_count,instance_id,structure_class,scenario_id,method_id,seed,tier,eval_budget,accepted_final,strict_duty_final,v_cap_final,v_tw_final,v_shift_final,overtime_sum_final,overtime_ratio_sum_final,cost_final,energy_final,co2_final,j_scaled_init,j_scaled_final,improvement_abs,improvement_pct,runtime_sec,compute_wh,imp_per_wh,time_to_first_feasible_sec,evals_to_first_feasible,n_repair_attempts,n_repair_success,n_rejected_offspring,archive_size_final,notes
C101__S2_peak_dirty__EDE__seed01,main,solomon,100,C101,clustered,S2_peak_dirty,EDE,1,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2194.9149488165663,1935.3185790809632,1010.1833756100126,0.913425,0.7796273690773988,0.13379763092260122,14.647905511957875,1800.0378550000023,26.000546794444478,0.005145954505510233,21.207479699980468,1,0,0,0,1,real_solver:EDE | archive=1 | walltime_hit=1 | init_best=0.913425 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__EDE__seed02,main,solomon,100,C101,clustered,S2_peak_dirty,EDE,2,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2325.823352045506,1932.079047297856,1009.4833706316613,0.868644,0.7939754468063952,0.07466855319360477,8.595990209292273,1800.0227658000076,26.000328839333445,0.002871831108560664,20.939543300075457,1,0,0,0,1,real_solver:EDE | archive=1 | walltime_hit=1 | init_best=0.868644 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__EDE__seed03,main,solomon,100,C101,clustered,S2_peak_dirty,EDE,3,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2478.7668015065383,1972.927435150934,1026.690894335887,0.983905,0.8215521767403416,0.16235282325965839,16.500863727662566,1800.7237579999492,26.010454282221488,0.006241829592750667,21.80333280004561,1,0,0,0,1,real_solver:EDE | archive=1 | walltime_hit=1 | init_best=0.983905 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__EDE__seed04,main,solomon,100,C101,clustered,S2_peak_dirty,EDE,4,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2469.2159444969475,1909.9716096099705,995.9892159909402,0.96443,0.8038294756550339,0.16060052434496608,16.6523775022517,1800.458570000017,26.006623788889137,0.006175369999914398,21.71026520000305,1,0,0,0,2,real_solver:EDE | archive=2 | walltime_hit=1 | init_best=0.964430 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__EDE__seed05,main,solomon,100,C101,clustered,S2_peak_dirty,EDE,5,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2473.160597589535,1891.4002971573502,986.1346369651425,0.908043,0.7991666412137833,0.10887635878621671,11.990220593762267,1800.0584550999338,26.000844351443487,0.0041874162744323425,24.482682300033048,1,0,0,0,5,real_solver:EDE | archive=5 | walltime_hit=1 | init_best=0.908043 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__EDE__seed06,main,solomon,100,C101,clustered,S2_peak_dirty,EDE,6,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2339.391498591767,1906.1587490265267,996.0964772251565,0.95864,0.7884855856435169,0.17015441435648315,17.749563376917628,1800.790295499959,26.011415379443854,0.006541528474108017,3.0007925999816507,1,0,0,0,2,real_solver:EDE | archive=2 | walltime_hit=1 | init_best=0.958640 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__EDE__seed07,main,solomon,100,C101,clustered,S2_peak_dirty,EDE,7,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2343.950544608648,1935.0328962030042,1010.0357491876277,0.895603,0.7965973656963561,0.09900563430364395,11.054634062597373,1800.0993247999577,26.001434691554945,0.0038076989011610264,14.456122000003234,1,0,0,0,1,real_solver:EDE | archive=1 | walltime_hit=1 | init_best=0.895603 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__EDE__seed08,main,solomon,100,C101,clustered,S2_peak_dirty,EDE,8,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2340.178200508797,1928.4387335581691,1005.2881485573051,0.947688,0.7940240541713851,0.15366394582861487,16.214613441197407,1800.0246281999862,26.000355740666468,0.005910070899079013,2.492437000037171,1,0,0,0,1,real_solver:EDE | archive=1 | walltime_hit=1 | init_best=0.947688 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__EDE__seed09,main,solomon,100,C101,clustered,S2_peak_dirty,EDE,9,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2331.6270135903815,1942.6702916013796,1012.7070267471214,0.94102,0.7969302202158565,0.1440897797841435,15.312084736152633,1800.095546000055,26.001380108889684,0.00554162045171134,21.557724600075744,1,0,0,0,1,real_solver:EDE | archive=1 | walltime_hit=1 | init_best=0.941020 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__EDE__seed10,main,solomon,100,C101,clustered,S2_peak_dirty,EDE,10,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2380.3401240687394,1969.2042637871436,1026.5813410284416,0.88615,0.8097554306441093,0.07639456935589073,8.620952362003129,1800.8064730999758,26.01164905588854,0.0029369368005753736,3.757448700023815,1,0,0,0,1,real_solver:EDE | archive=1 | walltime_hit=1 | init_best=0.886150 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
