run_id,phase,benchmark_family,customer_count,instance_id,structure_class,scenario_id,method_id,seed,tier,eval_budget,accepted_final,strict_duty_final,v_cap_final,v_tw_final,v_shift_final,overtime_sum_final,overtime_ratio_sum_final,cost_final,energy_final,co2_final,j_scaled_init,j_scaled_final,improvement_abs,improvement_pct,runtime_sec,compute_wh,imp_per_wh,time_to_first_feasible_sec,evals_to_first_feasible,n_repair_attempts,n_repair_success,n_rejected_offspring,archive_size_final,notes
C101__S2_peak_dirty__A1_NoSeed__seed07,main,solomon,100,C101,clustered,S2_peak_dirty,A1_NoSeed,7,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2337.7763671762186,1959.6524030307107,1021.6646926078936,1.150873,0.802296046028884,0.348576953971116,30.28804689753917,1800.1009679000126,26.001458425222406,0.013406053932458768,12.785455800010823,1,0,0,1875,1,real_solver:A1_NoSeed | archive=1 | walltime_hit=1 | init_best=1.150873 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__A1_NoSeed__seed08,main,solomon,100,C101,clustered,S2_peak_dirty,A1_NoSeed,8,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2722.3847958361675,2146.748999372253,1120.892201742153,1.19984,0.8977977604813856,0.3020422395186144,25.173543098964398,1800.7976714000106,26.011521920222375,0.011611863405954534,8.354395700036548,1,0,0,1953,2,real_solver:A1_NoSeed | archive=2 | walltime_hit=1 | init_best=1.199840 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__A1_NoSeed__seed09,main,solomon,100,C101,clustered,S2_peak_dirty,A1_NoSeed,9,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2486.2012680165253,1969.5116659222608,1027.7587491526117,1.097549,0.8222139466436639,0.27533505335633623,25.08635635915446,1800.6193030000431,26.0089454877784,0.010586167497091188,13.13092470006086,1,0,0,2720,8,real_solver:A1_NoSeed | archive=8 | walltime_hit=1 | init_best=1.097549 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__A1_NoSeed__seed10,main,solomon,100,C101,clustered,S2_peak_dirty,A1_NoSeed,10,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2364.3596035581363,2018.9644575677721,1052.2097291834427,1.185813,0.8214275072582722,0.3643854927417278,30.72874835591513,1800.3616175999632,26.005223365332803,0.014012011649455201,7.611837500007823,1,0,0,1868,29,real_solver:A1_NoSeed | archive=29 | walltime_hit=1 | init_best=1.185813 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__A1_NoSeed__seed11,main,solomon,100,C101,clustered,S2_peak_dirty,A1_NoSeed,11,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2349.2136749837196,1981.1867375333459,1031.7010946579503,1.155806,0.809171296713027,0.3466347032869729,29.990734023441036,1800.7074009999633,26.010218014443915,0.01332686650663523,13.518706399947405,1,0,0,2288,8,real_solver:A1_NoSeed | archive=8 | walltime_hit=1 | init_best=1.155806 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__A1_NoSeed__seed12,main,solomon,100,C101,clustered,S2_peak_dirty,A1_NoSeed,12,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2373.901905396406,2076.435516288227,1081.4058579310936,1.250165,0.838005636181261,0.41215936381873897,32.96839727705854,1800.9637976000085,26.013921520889014,0.015843799770356715,12.585682800039649,1,0,0,2186,49,real_solver:A1_NoSeed | archive=49 | walltime_hit=1 | init_best=1.250165 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__A1_NoSeed__seed13,main,solomon,100,C101,clustered,S2_peak_dirty,A1_NoSeed,13,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2370.062911708152,1989.2976706735628,1037.7891936349047,1.212576,0.8142554909663234,0.39832050903367666,32.84911700657745,1800.1787844999926,26.002582442777673,0.015318498072652467,14.013652499997988,1,0,0,2374,12,real_solver:A1_NoSeed | archive=12 | walltime_hit=1 | init_best=1.212576 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__A1_NoSeed__seed14,main,solomon,100,C101,clustered,S2_peak_dirty,A1_NoSeed,14,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2493.8823364060922,1997.9810040695174,1040.950663741448,1.228627,0.8304323361823518,0.3981946638176481,32.40972759166518,1800.9487972999923,26.01370484988878,0.015307110852353298,13.857209499925375,1,0,0,2697,8,real_solver:A1_NoSeed | archive=8 | walltime_hit=1 | init_best=1.228627 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__A1_NoSeed__seed15,main,solomon,100,C101,clustered,S2_peak_dirty,A1_NoSeed,15,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2392.679412194305,2033.6604062935785,1060.4349715394064,1.178684,0.8288252753179476,0.3498587246820525,29.68214760546953,1800.2465646000346,26.003561488667167,0.013454261826193593,13.713569900020957,1,0,0,2258,22,real_solver:A1_NoSeed | archive=22 | walltime_hit=1 | init_best=1.178684 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__A1_NoSeed__seed16,main,solomon,100,C101,clustered,S2_peak_dirty,A1_NoSeed,16,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2529.005068478556,2043.4073034040375,1065.4029269297737,1.123465,0.8470498204211618,0.2764151795788381,24.60380871489883,1800.6663312000455,26.009624784000657,0.010627418960263887,5.712690200074576,1,0,0,1999,114,real_solver:A1_NoSeed | archive=114 | walltime_hit=1 | init_best=1.123465 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
