run_id,phase,benchmark_family,customer_count,instance_id,structure_class,scenario_id,method_id,seed,tier,eval_budget,accepted_final,strict_duty_final,v_cap_final,v_tw_final,v_shift_final,overtime_sum_final,overtime_ratio_sum_final,cost_final,energy_final,co2_final,j_scaled_init,j_scaled_final,improvement_abs,improvement_pct,runtime_sec,compute_wh,imp_per_wh,time_to_first_feasible_sec,evals_to_first_feasible,n_repair_attempts,n_repair_success,n_rejected_offspring,archive_size_final,notes
C101__S2_peak_dirty__ALNS_MS__seed02,main,solomon,100,C101,clustered,S2_peak_dirty,ALNS_MS,2,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2507.401140702358,1981.8157534482887,1029.826738184785,0.8268625121372031,0.8268625121372031,0.0,0.0,1801.3225590999937,26.019103631444352,0.0,2.393680199980736,1,0,0,101,4,real_solver:ALNS_MS | archive=4 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__ALNS_MS__seed03,main,solomon,100,C101,clustered,S2_peak_dirty,ALNS_MS,3,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2386.0049163150065,2025.495285758215,1056.014505272043,0.8257904314218237,0.8257904314218237,0.0,0.0,1801.25464379997,26.018122632666234,0.0,2.1628747000359,1,0,0,185,4,real_solver:ALNS_MS | archive=4 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__ALNS_MS__seed04,main,solomon,100,C101,clustered,S2_peak_dirty,ALNS_MS,4,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2547.552473812154,2076.0404001055226,1081.8414004914725,0.857928521587803,0.857928521587803,0.0,0.0,1801.186901499983,26.01714413277753,0.0,2.370856699999422,1,0,0,54,10,real_solver:ALNS_MS | archive=10 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__ALNS_MS__seed05,main,solomon,100,C101,clustered,S2_peak_dirty,ALNS_MS,5,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2409.191308098654,2068.4914009745053,1076.8716987303094,0.8397714480965437,0.8397714480965437,0.0,0.0,1801.1528544999892,26.016652342777622,0.0,2.3434914000099525,1,0,0,46,32,real_solver:ALNS_MS | archive=32 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__ALNS_MS__seed06,main,solomon,100,C101,clustered,S2_peak_dirty,ALNS_MS,6,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2321.94268811597,1976.7315136897369,1035.073505008625,0.8063226492667187,0.8063226492667187,0.0,0.0,1801.2984970000107,26.018756067777932,0.0,2.1616932000033557,1,0,0,108,1,real_solver:ALNS_MS | archive=1 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__ALNS_MS__seed07,main,solomon,100,C101,clustered,S2_peak_dirty,ALNS_MS,7,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2392.139026786705,1996.8400294275991,1040.0365362947575,0.8183995121042266,0.8183995121042266,0.0,0.0,1801.863002600032,26.026910037556018,0.0,1.7513186000287533,1,0,0,109,1,real_solver:ALNS_MS | archive=1 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__ALNS_MS__seed08,main,solomon,100,C101,clustered,S2_peak_dirty,ALNS_MS,8,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2518.993850385881,1994.2530584654808,1044.4855216922685,0.8337174607525347,0.8337174607525347,0.0,0.0,1801.0167099999962,26.014685811111057,0.0,2.2312568000052124,1,0,0,173,6,real_solver:ALNS_MS | archive=6 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__ALNS_MS__seed09,main,solomon,100,C101,clustered,S2_peak_dirty,ALNS_MS,9,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2393.807835521679,2074.676862638517,1086.7390820776536,0.8414342924333894,0.8414342924333894,0.0,0.0,1801.9691443999764,26.028443196888546,0.0,2.160626000026241,1,0,0,87,3,real_solver:ALNS_MS | archive=3 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__ALNS_MS__seed10,main,solomon,100,C101,clustered,S2_peak_dirty,ALNS_MS,10,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2407.8564676454785,2015.0327019544272,1050.8562333835955,0.8255115709629246,0.8255115709629246,0.0,0.0,1802.1238397000125,26.030677684555737,0.0,2.393909899983555,1,0,0,165,5,real_solver:ALNS_MS | archive=5 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
C101__S2_peak_dirty__ALNS_MS__seed11,main,solomon,100,C101,clustered,S2_peak_dirty,ALNS_MS,11,small,25050,1,1,0.0,0.0,0.0,0.0,0.0,2636.1439382528897,1982.414494266739,1037.2949622627675,0.843620587504012,0.843620587504012,0.0,0.0,1800.9877856000094,26.014268014222356,0.0,2.179839299991727,1,0,0,14,4,real_solver:ALNS_MS | archive=4 | walltime_hit=1 | problem_source=real | problem_path=data\benchmarks\solomon\solomon-100\In\c101.txt
